bidNtceNo,bidNtceOrd,bidClsfcNo,rbidNo,bidNtceNm,plnprc,bssamt,totRsrvtnPrceNum,compnoRsrvtnPrceSno,bsisPlnprc,drwtYn,drwtNum,bidwinrSlctnAplBssCntnts,rlOpengDt,bssamtBssUpNum,compnoRsrvtnPrceMkngDt,inptDt,PrearngPrcePurcnstcst
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,10,746882700,N,24,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,11,739371500,N,24,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,12,743307400,Y,31,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,13,769581600,Y,29,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,14,756767500,Y,33,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220113806,000,0,000,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,755036150,751119000,15,15,732371100,N,24,행자부,2022-01-25 11:07:46,7,2022-01-17 09:20:20,2022-01-25 11:07:46,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,1,314982100,N,24,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,2,301698500,Y,38,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,3,303167500,Y,33,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,4,309167600,N,25,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,5,311805800,N,28,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,6,304070600,Y,38,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,7,317224400,N,23,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,8,305722200,N,28,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,9,307352100,N,27,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,10,312600600,N,28,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,11,310225400,N,33,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,12,300798400,Y,39,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,13,306647000,N,31,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,14,313868700,N,30,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
